Year,Ceremony,Film,Award,Gender,Winner,Name,Race,Age at Win,Photo
1927/1928,1,The Last Command,Actor,M,1,Emil Jannings,White,44,https://prabook.com/web/show-photo.jpg?id=1509048
1927/1928,1,7th Heaven,Actress,F,1,Janet Gaynor,White,22,http://cdn.worldofwonder.net/wp-content/uploads/2017/10/gaynor.jpg
1928/1929,2,In Old Arizona,Actor,M,1,Warner Baxter,White,41,http://www.latimes.com/includes/projects/hollywood/portraits/warner_baxter.jpg
1928/1929,2,Coquette,Actress,F,1,Mary Pickford,White,37,https://www.biography.com/.image/t_share/MTE5NTU2MzE2MzQ0MjU2MDEx/mary-pickford-9440298-1-402.jpg
1929/1930,3,Disraeli,Actor,M,1,George Arliss,White,62,https://upload.wikimedia.org/wikipedia/commons/9/90/George_Arliss_01.jpg
1929/1930,3,The Divorcee,Actress,F,1,Norma Shearer,White,28,http://www.hollywoodsgoldenage.com/images/shearer.jpg
1930/1931,4,A Free Soul,Actor,M,1,Lionel Barrymore,White,53,https://www.biography.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cg_face%2Cq_80%2Cw_300/MTE5NDg0MDU0ODk0MDUyODc5/lionel-barrymore-9200454-1-402.jpg
1930/1931,4,Min and Bill,Actress,F,1,Marie Dressler,White,63,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Marie_Dressler_-_1930.jpg/220px-Marie_Dressler_-_1930.jpg
1931/1932,5,The Champ,Actor,M,1,Wallace Beery,White,47,https://upload.wikimedia.org/wikipedia/commons/f/f7/Wallace_Beery-publicity.JPG
1931/1932,5,Dr. Jekyll and Mr. Hyde,Actor,M,1,Fredric March,White,35,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTI3MDEyMzg2OF5BMl5BanBnXkFtZTYwNzA2MjI2._V1_UY317_CR29,0,214,317_AL_.jpg"
1931/1932,5,The Sin of Madelon Claudet,Actress,F,1,Helen Hayes,White,32,https://myhero.com/images/guest/g293020/hero114528/Helen%20Hayes%20paragraph%201.jpg
1932/1933,6,The Private Life of Henry VIII,Actor,M,1,Charles Laughton,White,34,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Charles_Laughton-publicity2.JPG/220px-Charles_Laughton-publicity2.JPG
1932/1933,6,Morning Glory,Actress,F,1,Katharine Hepburn,White,26,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Katharine_Hepburn_promo_pic.jpg/1200px-Katharine_Hepburn_promo_pic.jpg
1934,7,It Happened One Night,Actor,M,1,Clark Gable,White,34,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Clark_Gable_-_publicity.JPG/220px-Clark_Gable_-_publicity.JPG
1934,7,It Happened One Night,Actress,F,1,Claudette Colbert,White,31,https://www.biography.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cg_face%2Cq_80%2Cw_300/MTE4MDAzNDEwNDg1MDIwMTc0/claudette-colbert-9252822-2-402.jpg
1935,8,The Informer,Actor,M,1,Victor McLaglen,White,49,https://www.onthisday.com/images/people/victor-mclaglen-200.jpg
1935,8,Dangerous,Actress,F,1,Bette Davis,White,27,https://flavorwire.files.wordpress.com/2015/04/bette.jpg?w=1920
1936,9,The Story of Louis Pasteur,Actor,M,1,Paul Muni,White,41,https://www.biography.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cg_face%2Cq_80%2Cw_300/MTE5NTU2MzE2MzI0NTk1MjEx/paul-muni-9418148-1-402.jpg
1936,9,Come and Get It,Actor in a Supporting Role,M,1,Walter Brennan,White,42,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExNzA5NjE1MF5BMl5BanBnXkFtZTYwMTMxMTM2._V1_UY317_CR17,0,214,317_AL_.jpg"
1936,9,The Great Ziegfeld,Actress,F,1,Luise Rainer,White,27,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Luise_Rainer_-_Paramount.jpg/220px-Luise_Rainer_-_Paramount.jpg
1936,9,Anthony Adverse,Actress in a Supporting Role,F,1,Gale Sondergaard,White,38,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Studio_publicity_Gale_Sondergaard.jpg/250px-Studio_publicity_Gale_Sondergaard.jpg
1937,10,Captains Courageous,Actor,M,1,Spencer Tracy,White,37,https://www.biography.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cg_face%2Cq_80%2Cw_300/MTIwNjA4NjMzOTkxODI0OTA4/spencer-tracy-9509626-1-402.jpg
1937,10,The Life of Emile Zola,Actor in a Supporting Role,M,1,Joseph Schildkraut,White,41,https://images.findagrave.com/photos/2002/289/6332_1034916098.jpg
1937,10,The Good Earth,Actress,F,1,Luise Rainer,White,28,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Luise_Rainer_-_Paramount.jpg/220px-Luise_Rainer_-_Paramount.jpg
1937,10,In Old Chicago,Actress in a Supporting Role,F,1,Alice Brady,White,45,http://www.latimes.com/includes/projects/hollywood/portraits/alice_brady.jpg
1938,11,Boys Town,Actor,M,1,Spencer Tracy,White,38,https://www.biography.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cg_face%2Cq_80%2Cw_300/MTIwNjA4NjMzOTkxODI0OTA4/spencer-tracy-9509626-1-402.jpg
1938,11,Kentucky,Actor in a Supporting Role,M,1,Walter Brennan,White,44,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExNzA5NjE1MF5BMl5BanBnXkFtZTYwMTMxMTM2._V1_UY317_CR17,0,214,317_AL_.jpg"
1938,11,Jezebel,Actress,F,1,Bette Davis,White,30,https://flavorwire.files.wordpress.com/2015/04/bette.jpg?w=1920
1938,11,Jezebel,Actress in a Supporting Role,F,1,Fay Bainter,White,45,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Studio_publicity_Fay_Bainter.jpg/250px-Studio_publicity_Fay_Bainter.jpg
1939,12,"Goodbye, Mr. Chips",Actor,M,1,Robert Donat,White,34,https://www.thefamouspeople.com/profiles/images/robert-donat-1.jpg
1939,12,Stagecoach,Actor in a Supporting Role,M,1,Thomas Mitchell,White,47,http://www.latimes.com/includes/projects/hollywood/portraits/thomas_mitchell.jpg
1939,12,Gone with the Wind,Actress,F,1,Vivien Leigh,White,26,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Vivien_Leigh_1948.jpg/220px-Vivien_Leigh_1948.jpg
1939,12,Gone with the Wind,Actress in a Supporting Role,,1,Hattie McDaniel,Black,44,https://www.biography.com/.image/t_share/MTE5NDg0MDU0NjI3NzE0NTc1/hattie-mcdaniel-38433-1-402.jpg
1940,13,The Philadelphia Story,Actor,M,1,James Stewart,White,32,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Annex_-_Stewart%2C_James_%28Call_Northside_777%29_01.jpg/1200px-Annex_-_Stewart%2C_James_%28Call_Northside_777%29_01.jpg
1940,13,The Westerner,Actor in a Supporting Role,M,1,Walter Brennan,White,46,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExNzA5NjE1MF5BMl5BanBnXkFtZTYwMTMxMTM2._V1_UY317_CR17,0,214,317_AL_.jpg"
1940,13,Kitty Foyle,Actress,F,1,Ginger Rogers,White,29,http://fordneyfoundation.org/wp-content/uploads/2015/03/ginger-rogers-4.jpg
1940,13,The Grapes of Wrath,Actress in a Supporting Role,F,1,Jane Darwell,White,61,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNTM2NDI4MV5BMl5BanBnXkFtZTYwMDQ2MjI2._V1_UY317_CR22,0,214,317_AL_.jpg"
